module.exports = {
  Transaction Date,Transaction Type,Sort Code,Account Number,Transaction Description,Debit Amount,Credit Amount,Balance
  10/05/2016,DEB,'00-00-00,111222333,ASDA  STORES,26.67,,9882.84
  09/05/2016,DEB,'00-00-00,111222333,GOOGLE *Com2uS Cor,22.99,,9909.51
  09/05/2016,DEB,'00-00-00,111222333,GOOGLE *Com2uS Cor,22.99,,9932.50
  09/05/2016,DEB,'00-00-00,111222333,GOOGLE *Com2uS Cor,3.99,,9955.49
  09/05/2016,TFR,'00-00-00,111222333,RENT,329.00,,9959.48
  06/05/2016,DEB,'00-00-00,111222333,TESCO STORE 2898,21.76,,10288.48
  06/05/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,10310.24
  05/05/2016,DEB,'00-00-00,111222333,ASDA  PETROL UPT46,38.68,,10320.24
  04/05/2016,DEB,'00-00-00,111222333,ASDA  STORES,21.52,,10358.92
  04/05/2016,DEB,'00-00-00,111222333,NON-STG PURCH FEE,1.00,,10380.44
  04/05/2016,DEB,'00-00-00,111222333,NON-STG TRANS FEE,.51,,10381.44
  04/05/2016,DEB,'00-00-00,111222333,BLIZZARD ENTERTAIN,17.30,,10381.95
  04/05/2016,DEB,'00-00-00,111222333,NON-STG PURCH FEE,1.00,,10399.25
  04/05/2016,DEB,'00-00-00,111222333,NON-STG TRANS FEE,.42,,10400.25
  04/05/2016,DEB,'00-00-00,111222333,BLIZZARD ENTERTAIN,14.15,,10400.67
  03/05/2016,DEB,'00-00-00,111222333,BLIZZARD ENTERTAIN,34.99,,10414.82
  03/05/2016,DEB,'00-00-00,111222333,ASDA  STORES,12.56,,10449.81
  28/04/2016,BGC,'00-00-00,111222333,SOME WORK,,942.31,10462.37
  27/04/2016,DEB,'00-00-00,111222333,ASDA  STORES,9.89,,9520.06
  27/04/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,8.99,,9529.95
  27/04/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,8.99,,9538.94
  26/04/2016,DEB,'00-00-00,111222333,Amazon UK Marketpl,41.94,,9547.93
  26/04/2016,DEB,'00-00-00,111222333,Amazon UK Retail,12.49,,9589.87
  26/04/2016,DD,'00-00-00,111222333,HARLANDS,39.99,,9602.36
  25/04/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,14.00,,9642.35
  21/04/2016,DEB,'00-00-00,111222333,ASDA  STORES,16.68,,9656.35
  19/04/2016,DEB,'00-00-00,111222333,ASDA  STORES,24.03,,9673.03
  19/04/2016,DEB,'00-00-00,111222333,SAINSBURYS S/MKTS,3.35,,9697.06
  18/04/2016,DEB,'00-00-00,111222333,W M MORRISON STORE,22.35,,9700.41
  15/04/2016,DEB,'00-00-00,111222333,ASDA  PETROL UPT46,46.27,,9722.76
  14/04/2016,TFR,'00-00-00,111222333,RENT,355.00,,9769.03
  14/04/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,60.60,,10124.03
  14/04/2016,BGC,'00-00-00,111222333,SOME WORK,,919.21,10184.63
  11/04/2016,DEB,'00-00-00,111222333,ASDA  STORES,20.68,,9265.42
  11/04/2016,DEB,'00-00-00,111222333,ASDA  STORES,7.54,,9286.10
  08/04/2016,DEB,'00-00-00,111222333,W M MORRISON STORE,24.13,,9293.64
  05/04/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,29.96,,9317.77
  01/04/2016,DEB,'00-00-00,111222333,NON-STG PURCH FEE,1.00,,9347.73
  01/04/2016,DEB,'00-00-00,111222333,NON-STG TRANS FEE,3.88,,9348.73
  01/04/2016,DEB,'00-00-00,111222333,WWW.PROLINE.PL,129.88,,9352.61
  01/04/2016,DEB,'00-00-00,111222333,BLIZZARD ENTERTAIN,34.99,,9482.49
  31/03/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,7.15,,9517.48
  31/03/2016,BGC,'00-00-00,111222333,SOME WORK,,1444.83,9524.63
  30/03/2016,CPT,'00-00-00,111222333,LNK LUTON AIRPORT,200.00,,8079.80
  29/03/2016,DEB,'00-00-00,111222333,GOOGLE *BLIZZARD E,13.99,,8279.80
  29/03/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,8293.79
  24/03/2016,DEB,'00-00-00,111222333,ASDA  STORES,2.05,,8303.79
  23/03/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,18.99,,8305.84
  21/03/2016,DEB,'00-00-00,111222333,ASDA  STORES,17.74,,8324.83
  17/03/2016,TFR,'00-00-00,111222333,SOME OTHER GUY,200.00,,8342.57
  17/03/2016,BGC,'00-00-00,111222333,SOME WORK,,1760.02,8542.57
  15/03/2016,DEB,'00-00-00,111222333,SHELL BLEAK HAL239,44.92,,6782.55
  09/03/2016,TFR,'00-00-00,111222333,RENT,306.00,,6827.47
  09/03/2016,DEB,'00-00-00,111222333,ASDA  STORES,33.13,,7133.47
  07/03/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,22.99,,7166.60
  03/03/2016,BGC,'00-00-00,111222333,SOME WORK,,929.80,7189.59
  02/03/2016,DEB,'00-00-00,111222333,WIZZ AIR HUN920WZZ,123.49,,6259.79
  02/03/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,16.37,,6383.28
  29/02/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,.75,,6399.65
  24/02/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,10.60,,6400.40
  23/02/2016,DEB,'00-00-00,111222333,SHELL BLEAK HAL239,38.83,,6411.00
  22/02/2016,TFR,'00-00-00,111222333,SOME OTHER GUY,100.00,,6449.83
  22/02/2016,DEB,'00-00-00,111222333,CO-OP GROUP FOOD,6.37,,6549.83
  18/02/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,6556.20
  18/02/2016,DEB,'00-00-00,111222333,LIDL UK,8.73,,6566.20
  18/02/2016,BGC,'00-00-00,111222333,SOME WORK,,802.33,6574.93
  17/02/2016,CPT,'00-00-00,111222333,LNK TESCO OLDBROOK,100.00,,5772.60
  16/02/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,5872.60
  16/02/2016,CPT,'00-00-00,111222333,LNK TESCO OLDBROOK,350.00,,5882.60
  15/02/2016,DEB,'00-00-00,111222333,THE CHOUGH'S NEST,170.00,,6232.60
  15/02/2016,DEB,'00-00-00,111222333,DEANSHANGER S.STN,43.41,,6402.60
  12/02/2016,DEB,'00-00-00,111222333,ASDA  STORES,26.83,,6446.01
  11/02/2016,TFR,'00-00-00,111222333,RENT,300.00,,6472.84
  11/02/2016,CPT,'00-00-00,111222333,LNK ASDA M KEYNES,200.00,,6772.84
  11/02/2016,DEB,'00-00-00,111222333,GOOGLE *LINE Corp,.79,,6972.84
  10/02/2016,DEB,'00-00-00,111222333,CINEWORLD,22.74,,6973.63
  09/02/2016,DEB,'00-00-00,111222333,ASDA  STORES,89.93,,6996.37
  09/02/2016,DEB,'00-00-00,111222333,ASDA  STORES,6.80,,7086.30
  09/02/2016,DEB,'00-00-00,111222333,BP MALTHURST CHILD,23.87,,7093.10
  08/02/2016,TFR,'00-00-00,111222333,HUE HUE,,100.00,7116.97
  08/02/2016,DEB,'00-00-00,111222333,KFC - DENBIGH,14.49,,7016.97
  08/02/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,7031.46
  08/02/2016,DEB,'00-00-00,111222333,SAINSBURYS S/MKTS,6.75,,7041.46
  08/02/2016,DEB,'00-00-00,111222333,SEVEN SISTERS PARK,2.60,,7048.21
  08/02/2016,DEB,'00-00-00,111222333,W M MORRISON STORE,32.31,,7050.81
  05/02/2016,DEB,'00-00-00,111222333,CINEWORLD,18.24,,7083.12
  04/02/2016,DEB,'00-00-00,111222333,ASDA  STORES,28.14,,7101.36
  04/02/2016,DEB,'00-00-00,111222333,Amazon UK Marketpl,25.93,,7129.50
  04/02/2016,DEB,'00-00-00,111222333,Amazon UK Retail,14.67,,7155.43
  04/02/2016,BGC,'00-00-00,111222333,AERO CUR,,1616.90,7170.10
  03/02/2016,CPT,'00-00-00,111222333,LNK SHELL - BLEAK,100.00,,5553.20
  01/02/2016,DEB,'00-00-00,111222333,ASDA  STORES,23.52,,5653.20
  01/02/2016,DEB,'00-00-00,111222333,LIDL UK,8.07,,5676.72
  01/02/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,5685.79
  01/02/2016,DEB,'00-00-00,111222333,Amazon UK Marketpl,5.58,,5694.79
  01/02/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,170.93,,5700.37
  01/02/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,39.99,,5871.30
  29/01/2016,DEB,'00-00-00,111222333,Amazon UK Retail,74.50,,5911.29
  27/01/2016,DEB,'00-00-00,111222333,NON-STG PURCH FEE,1.00,,5985.79
  27/01/2016,DEB,'00-00-00,111222333,NON-STG TRANS FEE,3.00,,5986.79
  27/01/2016,DEB,'00-00-00,111222333,WIZZ AIR HUN920WZZ,100.66,,5989.79
  26/01/2016,DEB,'00-00-00,111222333,ASDA  STORES,20.33,,6090.45
  26/01/2016,DEB,'00-00-00,111222333,LIDL UK,15.32,,6110.78
  21/01/2016,BGC,'00-00-00,111222333,AERO CUR,,1098.76,6126.10
  19/01/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,5027.34
  19/01/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,22.69,,5037.34
  18/01/2016,DEB,'00-00-00,111222333,ASDA  STORES,16.98,,5060.03
  18/01/2016,CPT,'00-00-00,111222333,LNK ASDA M KEYNES,350.00,,5077.01
  15/01/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,5427.01
  15/01/2016,CPT,'00-00-00,111222333,LNK ASDA M KEYNES,350.00,,5437.01
  12/01/2016,DEB,'00-00-00,111222333,ASDA  STORES,57.02,,5787.01
  12/01/2016,TFR,'00-00-00,111222333,RENT,364.00,,5844.03
  11/01/2016,DEB,'00-00-00,111222333,SCHUH 027,72.00,,6208.03
  07/01/2016,BGC,'00-00-00,111222333,AERO CUR,,506.16,6280.03
  05/01/2016,DEB,'00-00-00,111222333,ASDA  STORES,16.86,,5773.87
  05/01/2016,DEB,'00-00-00,111222333,LIDL UK,6.08,,5790.73
  04/01/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,5796.81
  04/01/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,5806.81
  04/01/2016,DEB,'00-00-00,111222333,NON-STG PURCH FEE,1.00,,5816.81
  04/01/2016,DEB,'00-00-00,111222333,NON-STG TRANS FEE,.60,,5817.81
  04/01/2016,DEB,'00-00-00,111222333,WIZZ AIR HUN920WZZ,20.39,,5818.41
}
